date,modal_price,arrivals_mt,price_lag_1,price_lag_3,price_lag_7,price_lag_14,price_lag_30,price_lag_60,rolling_mean_7,rolling_mean_14,rolling_std_7,weekly_arrival_change,day_of_week,month,quarter
2026-01-16,2281.8232154882153,73.63786195286195,2425.00661682243,2295.637636080871,2335.2938170347,2343.9260185185185,2280.4026067746686,2028.5370051635111,2418.8057642946537,2407.6903128915337,128.25087182278827,-0.12656969556272069,4,1,1
2026-01-17,2381.0460769230767,70.66678846153847,2281.8232154882153,2466.0090579710145,2557.7498723404256,2440.8777436823107,2335.2865497076023,2002.7422448979594,2393.5623649493177,2403.416622408731,112.80472884298689,-0.11829161480516048,5,1,1
2026-01-18,2551.6338874680305,31.940485933503837,2381.0460769230767,2425.00661682243,2595.6833012048196,2552.439429928741,2428.4190476190474,1995.4896507936508,2387.2695915583477,2403.3590836615376,100.17150416158893,-0.2567615129308728,6,1,1
2026-01-19,2351.4508196721313,68.76750819672131,2551.6338874680305,2281.8232154882153,2309.7306501547987,2339.376398809524,2411.886561954625,1974.6738087774293,2393.2296157751102,2404.221542294581,95.9409759876478,-0.18378809459746093,0,1,1
2026-01-20,2344.5876823338735,78.20821717990276,2351.4508196721313,2381.0460769230767,2295.637636080871,2370.2575147928997,2633.9088729016785,1977.4331900826448,2400.222479525539,2402.387982833222,89.18853385292961,-0.026379212569636823,1,1,1
2026-01-21,2286.960505529226,100.72402843601895,2344.5876823338735,2551.6338874680305,2466.0090579710145,2368.9196825396825,2331.985250737463,2062.3144834307996,2374.6441148909976,2396.533755903904,92.77948687914677,1.2202325786233623,2,1,1
2026-01-22,2303.9480844155846,98.20431818181818,2286.960505529226,2351.4508196721313,2425.00661682243,2368.8594436310395,2339.0422537313434,2218.7274881516587,2357.3500388328766,2391.897230245657,93.10938976154604,2.0,3,1,1
2026-01-23,2377.7255913978493,89.11227598566309,2303.9480844155846,2344.5876823338735,2281.8232154882153,2335.2938170347,2385.014167962675,1971.3631981279252,2371.050378248539,2394.928071271596,86.99915494576844,0.21014208754060282,4,1,1
2026-01-24,2402.5769215686273,87.02815686274509,2377.7255913978493,2286.960505529226,2381.0460769230767,2557.7498723404256,2411.8197674418607,1990.3266043613705,2374.126213197903,2383.8442890736105,87.7884781590938,0.2315283990882302,5,1,1
2026-01-25,2639.072005988024,53.49206586826348,2402.5769215686273,2303.9480844155846,2551.6338874680305,2595.6833012048196,2352.5038244514108,1975.5259497645213,2386.617372986474,2386.943482272411,118.20603239491705,0.674741767536893,6,1,1
2026-01-26,2510.7858823529414,35.8376,2639.072005988024,2377.7255913978493,2351.4508196721313,2309.7306501547987,2561.383697813121,1944.4500917431194,2409.3795247980183,2401.304570286564,125.42615352464493,-0.47885853450614535,0,1,1
2026-01-27,2203.4118864468865,112.74617216117215,2510.7858823529414,2402.5769215686273,2344.5876823338735,2295.637636080871,2664.1388888888887,2016.3259141494436,2389.2115539570195,2394.717016741279,147.06448460401484,0.4416154238859782,1,1,1
2026-01-28,2249.3439743589743,107.64176282051281,2203.4118864468865,2639.072005988024,2286.960505529226,2466.0090579710145,2376.0470314842582,2079.7249544626593,2383.837763789841,2379.2409393404196,152.02702356476712,0.06868008053200603,2,1,1
2026-01-29,2274.120064516129,86.41856451612904,2249.3439743589743,2510.7858823529414,2303.9480844155846,2425.00661682243,2341.0965824665677,2292.601063829787,2379.5766180899186,2368.463328461398,155.0278504486839,-0.12001258074893073,3,1,1
2026-01-30,2206.3467136150234,127.92158059467918,2274.120064516129,2203.4118864468865,2377.7255913978493,2281.8232154882153,2364.3087440381555,1964.9036334913112,2355.093921263801,2363.0721497561694,168.33060866731185,0.4355101940753927,4,1,1
2026-01-31,2270.946535433071,108.43086614173228,2206.3467136150234,2249.3439743589743,2402.5769215686273,2381.0460769230767,2357.955765765766,1954.8954758190328,2336.289580387293,2355.207896792598,169.4904557093821,0.24592855979636674,5,1,1
2026-02-01,2374.323684210526,35.21826315789474,2270.946535433071,2274.120064516129,2639.072005988024,2551.6338874680305,2343.9260185185185,1957.2875152439026,2298.4683915619357,2342.5428822742047,109.63453454643044,-0.34161706813440684,6,2,1
2026-02-02,2149.4458598726114,104.60073248407643,2374.323684210526,2206.3467136150234,2510.7858823529414,2351.4508196721313,2440.8777436823107,1940.1828208955224,2246.8483883504605,2328.113956574239,71.4084634639713,1.9187426748464302,0,2,1
2026-02-03,2173.9098297213623,87.30755417956657,2149.4458598726114,2270.946535433071,2203.4118864468865,2344.5876823338735,2552.439429928741,1916.0999514563107,2242.6338088182424,2315.922681387631,75.17089064098037,-0.22562733167775084,1,2,1
2026-02-04,2154.477328125,88.703265625,2173.9098297213623,2374.323684210526,2249.3439743589743,2286.960505529226,2339.376398809524,2037.994371681416,2229.0814307848177,2306.4595972873294,82.00086067907796,-0.17594005058326478,2,2,1
2026-02-05,2090.5747633587785,81.74499236641222,2154.477328125,2149.4458598726114,2274.120064516129,2303.9480844155846,2370.2575147928997,2210.028846153846,2202.8606734766245,2291.2186457832718,93.70856285049885,-0.05408065009971963,3,2,1
2026-02-06,2113.0255924170615,86.19167456556083,2090.5747633587785,2173.9098297213623,2206.3467136150234,2377.7255913978493,2368.9196825396825,1943.2142857142858,2189.529084734059,2272.31150299893,99.58400056682528,-0.32621474684040985,4,2,1
2026-02-07,2179.507455516014,52.020320284697505,2113.0255924170615,2154.477328125,2270.946535433071,2402.5769215686273,2368.8594436310395,1990.5030769230768,2176.466359031622,2256.3779697094574,92.89692062332577,-0.5202443535155328,5,2,1
